model,quality,kodak,psnr,ssim,vif,bpp,mse,mae
bmshj2018-factorized,1,10,37.49,0.9804,1.0027,1.4939,1.78 × 10^-4,9.67 × 10^-3
bmshj2018-factorized,1,11,39.68,0.9787,0.999,1.0758,1.08 × 10^-4,7.76 × 10^-3
bmshj2018-factorized,1,12,32.9,0.9798,0.9976,2.6168,5.13 × 10^-4,1.67 × 10^-2
bmshj2018-factorized,1,13,36.32,0.9802,0.9973,1.7348,2.34 × 10^-4,1.12 × 10^-2
bmshj2018-factorized,1,14,38.1,0.9764,0.9957,1.1711,1.55 × 10^-4,8.7 × 10^-3
bmshj2018-factorized,1,15,38.97,0.9821,1.0023,1.2566,1.27 × 10^-4,8.34 × 10^-3
bmshj2018-factorized,1,16,38.66,0.9805,1.0002,1.1143,1.36 × 10^-4,8.36 × 10^-3
bmshj2018-factorized,1,17,35.01,0.9744,1.004,1.7478,3.15 × 10^-4,1.26 × 10^-2
bmshj2018-factorized,1,18,37.54,0.9775,0.9996,1.3895,1.76 × 10^-4,9.92 × 10^-3
bmshj2018-factorized,1,19,38.9,0.9792,0.9986,1.0864,1.29 × 10^-4,7.39 × 10^-3
bmshj2018-factorized,1,20,36.98,0.9773,1.0011,1.4817,2.0 × 10^-4,1.03 × 10^-2
bmshj2018-factorized,1,21,36.81,0.9739,1.001,1.4858,2.09 × 10^-4,1.07 × 10^-2
bmshj2018-factorized,1,23,35.15,0.9833,1.0005,1.7211,3.05 × 10^-4,1.13 × 10^-2
bmshj2018-factorized,1,0,38.53,0.9907,0.9984,2.722,1.4 × 10^-4,9.11 × 10^-3
bmshj2018-factorized,1,4,38.36,0.9919,0.9998,2.4461,1.46 × 10^-4,9.0 × 10^-3
bmshj2018-factorized,1,5,39.5,0.9889,1.0019,2.1751,1.12 × 10^-4,7.87 × 10^-3
bmshj2018-factorized,1,7,37.52,0.9902,0.9998,2.7741,1.77 × 10^-4,1.01 × 10^-2
bmshj2018-factorized,1,10,39.88,0.9877,1.0007,2.0124,1.03 × 10^-4,7.51 × 10^-3
bmshj2018-factorized,1,12,36.04,0.9896,0.9987,3.4427,2.49 × 10^-4,1.18 × 10^-2
bmshj2018-factorized,1,13,38.58,0.9881,1.0002,2.3117,1.39 × 10^-4,8.67 × 10^-3
bmshj2018-factorized,1,17,37.37,0.9836,1.003,2.386,1.83 × 10^-4,9.8 × 10^-3
bmshj2018-factorized,1,18,39.74,0.9849,1.0013,1.904,1.06 × 10^-4,7.85 × 10^-3
bmshj2018-factorized,1,20,39.26,0.9835,1.0006,2.0071,1.18 × 10^-4,8.13 × 10^-3
bmshj2018-factorized,1,21,38.92,0.9826,1.0011,2.0427,1.28 × 10^-4,8.44 × 10^-3
bmshj2018-factorized,1,23,37.27,0.9893,1.0015,2.2764,1.88 × 10^-4,8.84 × 10^-3
bmshj2018-factorized,1,0,24.83,0.8236,0.9852,0.1729,3.29 × 10^-3,4.13 × 10^-2
bmshj2018-factorized,1,1,29.29,0.8676,0.9954,0.1156,1.18 × 10^-3,2.29 × 10^-2
bmshj2018-factorized,1,2,30.4,0.9135,0.9948,0.1027,9.12 × 10^-4,1.91 × 10^-2
bmshj2018-factorized,1,3,28.81,0.8726,0.9949,0.1129,1.32 × 10^-3,2.43 × 10^-2
bmshj2018-factorized,1,4,23.6,0.8357,0.9929,0.1941,4.37 × 10^-3,4.64 × 10^-2
bmshj2018-factorized,1,5,25.38,0.831,0.9872,0.1408,2.9 × 10^-3,3.57 × 10^-2
bmshj2018-factorized,1,6,29.01,0.9295,1.007,0.1332,1.26 × 10^-3,2.3 × 10^-2
bmshj2018-factorized,1,7,22.49,0.8402,0.9928,0.2051,5.63 × 10^-3,5.14 × 10^-2
bmshj2018-factorized,1,8,29.7,0.9184,1.009,0.1118,1.07 × 10^-3,2.04 × 10^-2
bmshj2018-factorized,1,9,28.97,0.9041,1.0029,0.1147,1.27 × 10^-3,2.23 × 10^-2
bmshj2018-factorized,1,10,26.8,0.852,0.982,0.1298,2.09 × 10^-3,2.97 × 10^-2
bmshj2018-factorized,1,11,30.31,0.8924,1.0084,0.1077,9.31 × 10^-4,2.04 × 10^-2
bmshj2018-factorized,1,12,21.57,0.751,0.9978,0.1823,6.96 × 10^-3,5.76 × 10^-2
bmshj2018-factorized,1,13,25.33,0.8267,0.9966,0.1533,2.93 × 10^-3,3.69 × 10^-2
bmshj2018-factorized,1,14,28.92,0.8925,0.9957,0.113,1.28 × 10^-3,2.2 × 10^-2
